STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,log_total_exp,log_federal_rev,log_state_rev,log_local_rev,log_instruction_exp,log_support_services_exp,log_other_exp,log_capital_outlay_exp
West Virginia,1996,306451,1958647,158572,1222505,577570,1936848,1131846,556873,130467,101350,14.4765724674464,11.9739640278303,14.0164125903024,13.2665849261537,13.9393604860878,13.2300924857305,11.7788756002038,11.5263351518801
Wisconsin,1996,869930,6342623,270455,2869875,3202293,6521058,3567663,1872074,212389,617334,15.6905471906771,12.5078610048344,14.8697790327803,14.9793776736616,15.0874213175486,14.4425574651529,12.2661747779316,13.3331654854332
Wyoming,1996,99859,664057,41007,339629,283421,676305,360100,200228,21910,78444,13.4243994367044,10.6214980628208,12.7356091243553,12.5546887037051,12.794137049637,12.2072119962236,9.99469843258951,11.2701402734007
Alabama,1997,737386,3981788,376200,2498847,1106741,3963624,2095904,1075352,323955,420070,15.19266931625,12.8378761958491,14.731339983453,13.9169302186435,14.5554955218474,13.888158607807,12.6883598962396,12.9481766430389
Alaska,1997,128143,1131950,145563,692364,294023,1237103,651935,372788,40973,152330,14.0282829138743,11.8883642615714,13.4478671078649,12.5914132745534,13.3877001426876,12.8287651724343,10.6206685921706,11.9338044991307
Arizona,1997,783552,4343262,405291,1907516,2030455,4432360,1977550,1252277,265183,678793,15.3044427315473,12.9123606065963,14.4613124300479,14.5237704638339,14.4973692627544,14.0404740521773,12.4881754326751,13.4280714999732
Arkansas,1997,457349,2355859,218137,1387107,750615,2379496,1291727,667439,158337,192204,14.6823992585165,12.2928785847522,14.1427308412385,13.5286481494962,14.071490640688,13.4112032793128,11.9724809519753,12.1663125869563
California,1997,5595836,35614934,2850766,20560730,12203438,33862281,18160435,10040400,1792979,3088674,17.3378122980235,14.863098288062,16.8388935037575,16.3172282732831,16.714755884595,16.1221275120717,14.3993890403045,14.9432524305593
Colorado,1997,672634,4133275,205038,1784304,2143933,4398196,2188731,1205308,154175,678631,15.2967050148155,12.2309506067961,14.3945389811925,14.5781525506845,14.5988324817907,14.0022456939061,11.9458435998597,13.4278328125759
Connecticut,1997,507838,4788489,158453,1719703,2910333,4642835,2709106,1368262,164857,194220,15.3508357290025,11.9732132983573,14.3576621594611,14.8837780655904,14.8121292491315,14.1290518792948,12.0128337104434,12.1767468161483
Delaware,1997,110245,898926,56722,575855,266349,889631,486550,265674,39021,73946,13.6985620489936,10.9459174215152,13.2636111718761,12.4925627578797,13.0950949502501,12.4900252722364,10.5718552417318,11.2110903760742
District of Columbia,1997,78648,711625,73177,0,638448,686059,337401,272058,23494,53106,13.4387189088406,11.2006364429256,-Inf,13.3667955102612,12.7290274129308,12.5137705578408,10.0645003483838,10.8800451951969
Florida,1997,2241298,14363709,992226,7022561,6348922,14564750,6725833,4370182,1040190,2111449,16.4941147837931,13.8077061829,15.7646385242881,15.6637955926778,15.7214663419524,15.2903152138018,13.854913946739,14.562884999619
Georgia,1997,1346761,8248199,534963,4471781,3241455,8483477,4504165,2274539,485635,1056516,15.9536309473163,13.1899528646081,15.3132973212405,14.991532861039,15.3205130822337,14.6372879524708,13.0932125919126,13.8704872602681
Hawaii,1997,187653,1213792,95795,1088410,29587,1241375,685225,326596,105850,123704,14.0317301942057,11.4699657705301,13.9002284736476,10.2950903546511,13.4375025304641,12.6964792120461,11.569778276563,11.7256468941553
Idaho,1997,245252,1200186,80754,747250,372182,1293705,680063,353044,51999,178703,14.0730207527822,11.2991627754618,13.5241550801462,12.8271382609247,13.4299407199196,12.7743479740401,10.8589797666094,12.0934804889193
Illinois,1997,1952892,13929105,847818,4532935,8548352,13920593,6881301,4240388,527869,1598074,16.4488798125379,13.6504212690978,15.3268801905305,15.9612490737965,15.7443182908698,15.2601653324554,13.1766034258444,14.284309712121
Indiana,1997,981546,7885141,305125,3783388,3796628,7325086,3630591,2029513,335709,667028,15.8068154534128,12.6284768076953,15.1461304624584,15.1496238623311,15.1049060029063,14.5233064207592,12.7239999922602,13.4105873030272
Iowa,1997,502941,3406582,153160,1646498,1606924,3485339,1752717,983324,142001,295558,15.0640758714775,11.9392384055912,14.3141611661,14.2898323505086,14.3766777133353,13.7986939480774,11.8635893788121,12.5966203740642
Kansas,1997,466368,3029537,152455,1682302,1194780,2949608,1476664,959322,180594,188156,14.8971828381306,11.9346247495171,14.3356736515551,13.9934726259808,14.2052960474825,13.773982063932,12.1040066968218,12.145026684963
Kentucky,1997,631592,3842885,341901,2381664,1119320,3903139,2120583,1133417,242137,324367,15.1772916591591,12.7422765004549,14.6833099610133,13.9282319160283,14.5672016088426,13.9407475217229,12.3972589606583,12.6896308697851
Louisiana,1997,808798,4106095,478008,2087903,1540184,4027228,2205048,1176952,303024,249895,15.2085888560605,13.0773827477352,14.5516707709669,14.2474124477721,14.6062598353336,13.9784386037626,12.6215672892755,12.4287961086197
Maine,1997,213241,1537085,74503,669487,793095,1527663,906697,405474,59141,71625,14.2392496746457,11.2185946720133,13.4142670264491,13.5836982916763,13.7175636049268,12.9128120321096,10.9876797022929,11.179199454017
Maryland,1997,818583,6040883,292260,2343928,3404695,6217120,3359984,1893583,289761,592725,15.6428173349793,12.5853990960286,14.6673387124837,15.0406659193981,15.0274467700233,14.4539813595328,12.5768117242433,13.2924858267413
Massachusetts,1997,928519,7585624,337880,3341044,3906700,7479407,4469869,2024501,239732,439273,15.8276640687331,12.7304460818414,15.0217938909618,15.1782035858318,15.3128696596726,14.5208338084034,12.3872769117207,12.9928763666592
Michigan,1997,1684261,13759710,806713,8728340,4224657,14235902,6777568,4401535,649063,1478950,16.4712776416324,13.6007232458318,15.9820857608234,15.2564486320459,15.7291288935027,15.2974639016861,13.3832850633941,14.2068429344954
Minnesota,1997,837847,6304977,251210,3321859,2731908,6890773,3461407,1641569,585789,799154,15.7456938282788,12.434044521701,15.0160351239439,14.8205108241424,15.0571857117741,14.3111630497647,13.2807149354596,13.5913089471024
Mississippi,1997,503979,2274700,305516,1253204,715980,2319324,1242701,629587,167473,244101,14.6567863218729,12.6297574293811,14.041214029884,13.4814075125918,14.0327977944932,13.3528193278417,12.0285774232243,12.4053373530543
Missouri,1997,899750,5550134,336452,2695581,2518101,5527705,2906899,1589440,310482,552305,15.5252832783168,12.7262107730185,14.8071243235058,14.7390156039814,14.8825974352154,14.2788923109011,12.6458812076608,13.2218557088992
Montana,1997,164464,989991,90565,465343,434083,972059,557840,303522,39685,59716,13.7871717811889,11.413823103927,13.0505300470595,12.9809910390373,13.2318274618949,12.6232093744987,10.588728561525,10.9973552701735
Nebraska,1997,290883,1994021,115783,630765,1247473,1946725,1081994,515148,77333,213672,14.4816590314408,11.6594730285082,13.3546886474334,14.036630463087,13.8943161930867,13.1522095170013,11.2558760516262,12.2721974079216
Nevada,1997,282131,1701290,68131,1089122,544037,1905940,858110,526090,57372,369529,14.4604858831625,11.1291876014818,13.900882425025,13.2067725382311,13.6624875753807,13.1732275797451,10.9573116584141,12.8199845007291
New Hampshire,1997,193524,1339186,44339,94550,1200297,1431472,758383,363154,43136,169477,14.1742138434268,10.6996199299164,11.4568840740866,13.9980795841352,13.5389438140599,12.8025822657059,10.672113194272,12.0404725033801
New Jersey,1997,1216721,12910890,427260,4799701,7683929,13242022,7106433,4171762,496433,938533,16.398905815846,12.9651480062042,15.3840641822712,15.8546415628487,15.7765109881283,15.2438490464957,13.1152038087492,13.7520732968839
New Mexico,1997,332849,1768148,231271,1287163,249714,1826524,884961,575080,90233,249670,14.4179252650162,12.3513454620624,14.0679511296853,12.4280715419769,13.6932988552224,13.2622644405365,11.4101504928011,12.427895324877
New York,1997,2818497,26775074,1446691,10477889,14850494,28227561,16259479,7136050,933478,2561130,17.1558093990477,14.1847894375435,16.1647777852695,16.513543688653,16.6041866197502,15.7806699599439,13.7466726744661,14.7559591253147
North Carolina,1997,1208695,6827952,471258,4258017,2098677,7007690,3704935,1869526,436235,848228,15.7625186754601,13.0631609937276,15.2643141169123,14.5568177041603,15.1251762726988,14.4411954807645,12.9859363679535,13.6509047465601
North Dakota,1997,118433,683331,75316,270361,337654,679692,351542,177522,52363,47992,13.429395033367,11.2294478746163,12.5075133819795,12.7297769815195,12.7700844710037,12.0868498238792,10.865955514028,10.7787896093329
Ohio,1997,1844245,12630491,728751,5124101,6777639,12421963,6449340,4011117,636681,1075506,16.3349766735106,13.4990873888586,15.4494656529677,15.7291393691819,15.6794883579549,15.2045803141099,13.3640240241903,13.8883018064749
Oklahoma,1997,620695,3413742,278209,1974522,1161011,3390894,1739943,1013092,317185,282622,15.0366041614036,12.5361279087749,14.4958369017081,13.964801735226,14.3693629120334,13.8285175984555,12.6672404788479,12.5518655947517
Oregon,1997,537675,3477420,191660,1826329,1459431,3792572,1992346,1156521,127783,395441,15.1485549748631,12.1634782478978,14.4178184991539,14.1935571916942,14.5048233968226,13.9609269187248,11.7580887917333,12.8877568768063
Pennsylvania,1997,1781383,15184431,781493,5695856,8707082,15777276,8216134,4229482,598223,1400173,16.5740812349067,13.5689614716698,15.5552494508555,15.9796472754763,15.9216103400973,15.2575900848949,13.3017188731182,14.1521063583797
Rhode Island,1997,150433,1185534,63214,470876,651444,1175638,740878,336147,47227,21853,13.9773215369242,11.0542810745906,13.062350068698,13.3869467163653,13.515591248348,12.7253038432701,10.7627210419229,9.99209349087015
South Carolina,1997,641925,3874045,303240,2027332,1543473,3921465,1958816,1110236,246858,509633,15.1819758664388,12.6222798501702,14.5222312008727,14.24954563006,14.4878507670432,13.9200831633023,12.416568551507,13.1414461378154
South Dakota,1997,135601,747462,70568,265354,411540,711052,390953,206419,33050,63192,13.4745008425386,11.1643320629386,12.4888200625724,12.9276614997214,12.8763426271388,12.2376633626164,10.4057768452798,11.0539329898443
Tennessee,1997,886517,4390879,359191,2114799,1916889,4695409,2656651,1222265,248981,479484,15.3620957807813,12.791609559417,14.5644703304854,14.4662141173779,14.7925768649667,14.0162162528139,12.4251318673146,13.0804658046571
Texas,1997,3826366,23091567,1688975,9878849,11523743,23671010,12038459,6338637,1153593,3147085,16.9797616506263,14.3396323940226,16.1059065649619,16.2599200736536,16.3036169996203,15.6621743190739,13.9583919775332,14.9619871855324
Utah,1997,479812,2187279,140044,1367806,679429,2178778,1176955,504640,160763,282827,14.5942747271394,11.8497119379283,14.1287185542427,13.4290080185195,13.9784411527163,13.1316005827568,11.9876865097476,12.5525906822803
Vermont,1997,101584,1022546,37631,232557,752358,1069297,461439,229220,25761,96165,13.8825119811671,10.535583457776,12.3568906352528,13.5309675534793,13.0421051465073,12.3424375200507,10.1566169993406,11.4738207450895
Virginia,1997,1096279,7345090,356767,2938616,4049707,7436340,3852814,2154066,383787,831898,15.8218893502854,12.7848381866214,14.8934492801788,15.2141550907866,15.1643143483709,14.5828677768976,12.8578429901738,13.631465116134
Washington,1997,974504,6667626,388123,4443435,1836068,6792261,3356299,1986859,293323,897137,15.7312944337968,12.8690775786775,15.3069382839452,14.4231368865138,15.0263494367603,14.502065557768,12.5890296698931,13.7069638607053
West Virginia,1997,303441,2053981,170220,1286247,597514,2018185,1131889,586187,140495,144209,14.5177091506195,12.044846997031,14.0672392337662,13.3005329934756,13.9393984764003,13.2813941302815,11.8529271799341,11.8790189152002
Wisconsin,1997,879021,6724752,288586,3681682,2754484,6990489,3747953,1988121,226505,761190,15.7600610688447,12.5727484140967,15.11888027094,14.8287406872013,15.1367203822405,14.5027005295376,12.3305222987168,13.542638277166
Wyoming,1997,98777,660079,43171,320566,296342,695127,362705,206739,23104,84230,13.4518498416661,10.6729242525157,12.6778434623797,12.5992694717445,12.8013451106736,12.2392124071175,10.0477610416926,11.3413064313094
Alabama,1998,739321,4140537,374153,2589819,1176565,4245033,2218693,1155492,357731,458351,15.261260151549,12.8324200836509,14.7670985470638,13.9781097342422,14.612428841735,13.9600367852628,12.7875365862948,13.0353905451264
Alaska,1998,130633,1206195,157335,745814,303046,1222893,680848,376448,42456,104903,14.0167299210626,11.9661325690638,13.5222315183394,12.6216398881503,13.4310943590438,12.8385352024736,10.6562235245077,11.5607913926409
Arizona,1998,794331,4675296,470398,2000801,2204097,4726098,2091741,1315931,279785,759108,15.3686104728661,13.0613344238568,14.5090581583455,14.6058284591758,14.5535072915312,14.0900549578819,12.5417767300552,13.5398993387453
Arkansas,1998,456355,2567380,226475,1505419,835486,2536027,1367612,731619,170279,192590,14.7461092411703,12.3303898425375,14.2245818227332,13.6357688704439,14.1285767112043,13.5030151656373,12.0451935472446,12.1683188559183
California,1998,5727224,39183018,3149260,22840500,13193258,38087666,20083913,10939061,1862674,4335730,17.4554010606519,14.9626780625687,16.944045833931,16.3952164994998,16.8154297043209,16.2078505194645,14.437523647691,15.2824005507901
Colorado,1998,686360,4359021,215071,1879850,2264100,4739136,2253623,1470619,158788,622534,15.3713653985755,12.2787234851532,14.4467025443889,14.6326878869411,14.628049701385,14.2011939585574,11.9753252581892,13.3415535243034
Connecticut,1998,515141,5024673,189689,1828216,3006768,4810851,2844608,1444460,162325,144785,15.3863845495098,12.1531411679477,14.4188511859413,14.9163763056853,14.8609358304605,14.1832461072624,11.9973557773767,11.8830051624076
Delaware,1998,111428,934530,59955,594617,279958,915207,511618,275898,41035,61153,13.7269055481798,11.0013495598135,13.2956727797866,12.5423948709003,13.1453335318052,12.5277865111758,10.6221806400638,11.0211341996012
District of Columbia,1998,77111,706938,116366,0,590572,716740,283484,339972,33393,59891,13.4824684317822,11.6644956753911,-Inf,13.2888468377539,12.5549109631675,12.73661854026,10.4161015761613,11.0002815223975
Florida,1998,2292161,15595671,1116607,7742607,6736457,15155383,7160434,4604765,1073030,1949539,16.5338663403421,13.9258051808697,15.8622490105596,15.723044677021,15.784081151625,15.3426021948819,13.8859969802155,14.4831034923342
Georgia,1998,1375980,9207163,594406,4737025,3875732,8990897,4822729,2477958,488371,1023011,16.0117231790009,13.2953178665474,15.3709198594938,15.1702451061554,15.3888505083785,14.722945391875,13.0988306418964,13.8382607975641
Hawaii,1998,189887,1279125,107149,1141001,30975,1266378,712023,328519,104350,121486,14.0516714153197,11.581975668147,13.947416505268,10.3409357064973,13.4758654932432,12.7023499538948,11.5555059125053,11.7075543087862
Idaho,1998,244403,1310960,90011,822017,398932,1342719,714369,377484,53790,165324,14.1102072205528,11.4076871640661,13.6195163550897,12.8965462552827,13.4791549145458,12.841283462667,10.8928428552673,12.0156624638326
Illinois,1998,1972406,14688777,962367,4807076,8919334,15207067,7391186,4544061,637882,1917001,16.5372708119786,13.7771511537779,15.3855995570278,16.0037318380916,15.8157987671925,15.3293316635888,13.365908592243,14.4662725436761
Indiana,1998,985690,7656749,343921,3770236,3542592,7649103,3745167,2089790,352606,766633,15.8500989440259,12.7481672588189,15.1426481569344,15.0803692205697,15.1359767667296,14.5525741404238,12.7731065652504,13.5497634782236
Iowa,1998,501054,3589705,168098,1715712,1705895,3650286,1827658,1022484,145224,325840,15.1103160786534,12.032302421646,14.3553387127768,14.3496004576602,14.4185459237772,13.8377455188549,11.8860326569703,12.6941617423223
Kansas,1998,468980,3207670,188910,1868123,1150637,3087318,1536690,1013241,193699,188870,14.9428133108125,12.1490259901509,14.4404447414276,13.9558262600297,14.2451413105712,13.8286646621417,12.1740606867591,12.1488142266899
Kentucky,1998,645232,3938009,367810,2411836,1158363,4018512,2116458,1179822,241709,400122,15.2064222428193,12.8153217794723,14.6958988411511,13.9625183594957,14.565254494664,13.9808741376056,12.3954898022416,12.8995247795871
Louisiana,1998,774561,4443468,498082,2266287,1679099,4379797,2387847,1265136,322067,310116,15.2925129342466,13.1185200010866,14.6336533674485,14.3337678979902,14.6859026810903,14.0506901842464,12.6825148774162,12.6447017000168
Maine,1998,212038,1611926,82445,696430,833051,1601411,949523,422020,60837,83017,14.2863956735867,11.3198866833351,13.4537225646387,13.6328501437646,13.7637150322165,12.95280798526,11.0159534354928,11.3268006850832
Maryland,1998,830744,6521269,325321,2514101,3681847,6519389,3584678,1902782,302974,558202,15.6902912178552,12.6925676661725,14.7374258423452,15.1189250864083,15.0921792092929,14.458827583752,12.6214022722289,13.2324761830231
Massachusetts,1998,942331,7726497,366880,3183950,4175667,8098720,4849603,2173146,255100,469395,15.9072165824641,12.8127900980917,14.9736331223055,15.2447846639858,15.3944074038932,14.5916864452006,12.4494109041299,13.0591999104463
Michigan,1998,1680559,14712250,866216,9474264,4371770,14905765,6895840,4546053,663827,1723267,16.5172586088359,13.6718895790767,16.0640896278154,15.2906785193925,15.7464288892004,15.3297699419276,13.4057768523429,14.3597324657798
Minnesota,1998,841723,6672384,313550,3363505,2995329,6815289,3384437,1721705,452482,781250,15.73467902867,12.6557141159712,15.0284941429934,14.9125646332482,15.0346981284866,14.3588256368668,13.0225032623254,13.5686504800327
Mississippi,1998,504792,2400660,322350,1319058,759252,2543454,1320613,678492,173401,333170,14.7490335577659,12.6833931907388,14.0924284034393,13.540089017083,14.0936065807045,13.4276279674727,12.0633621103246,12.7164081492069
Missouri,1998,909441,5990499,387035,2873051,2730413,5849648,3083844,1693964,327445,553090,15.5818920464575,12.866270407199,14.8708850892832,14.8199634377705,14.9416874287284,14.3425819024925,12.6990753810228,13.2232760159061
Montana,1998,162164,1035636,102844,478345,454447,1007146,575114,306419,39258,73846,13.8226311462956,11.5409685559949,13.0780875084542,13.0268365741388,13.262323560998,12.6327087253699,10.5779105240978,11.209737122647
Nebraska,1998,291570,2062836,130904,663420,1268512,1966403,1086607,528690,79003,213815,14.4917165434233,11.7822195091087,13.4051635527645,14.0533551179688,13.8985705551918,13.1781575277265,11.2772411054117,12.2728664341392
Nevada,1998,296621,1906860,84699,1193619,628542,2030065,943345,575000,60708,340415,14.5235783702098,11.346859074195,13.9925004265355,13.3511581305554,13.757187348366,13.2621253197795,11.0138307640799,12.7379207405154
New Hampshire,1998,196734,1420100,51977,127621,1240502,1428447,808107,378359,44977,94615,14.1720983981096,10.8585565920244,11.7568202131541,14.0310266943658,13.6024497544783,12.8435987593381,10.7139065269795,11.4575713048382
New Jersey,1998,1238948,13786951,477055,5246527,8063369,13973201,7267644,4442457,516387,1110805,16.4526518388443,13.0753870672067,15.4730768918549,15.9028420172237,15.7989427254604,15.3067181597294,13.1546117633542,13.920595535665
New Mexico,1998,331673,1913783,253889,1383314,276580,1933538,941273,620639,95879,247033,14.4748620433145,12.4446524426109,14.1399926275375,12.5302553890187,13.7549884933887,13.3385048714325,11.4708422587901,12.4172772099249
New York,1998,2834992,27900803,1522836,11033327,15344640,29853891,17266937,7384638,1044857,2723181,17.2118257410666,14.236084943873,16.2164309776609,16.5462767853502,16.6643040748097,15.8149124544659,13.859390591912,14.8173112402511
North Carolina,1998,1230010,7516979,520499,4821450,2175030,7688076,4130685,1936511,459818,994055,15.8551811151193,13.1625432458057,15.3885852706621,14.5925530155132,15.2339538107482,14.476398458272,13.0385860380004,13.8095478160999
North Dakota,1998,116813,731384,85963,284970,360451,715126,366639,184916,54277,57202,13.4802140299268,11.3616722501009,12.5601391905523,12.7951113041388,12.8121329917082,12.1276569468927,10.9018558434457,10.9543441417916
Ohio,1998,1846585,13577343,755883,5539484,7281976,13005301,6688427,4268412,663358,1126127,16.3808676015413,13.53564188128,15.5274119135914,15.8009128119142,15.7158892774024,15.2667524190785,13.4050700932708,13.9342948699539
Oklahoma,1998,623681,3559980,312708,2053438,1193834,3617938,1811901,1079168,358001,328855,15.101414808251,12.6530251267452,14.5350260195684,13.9926805347936,14.4098871283309,13.8917009318423,12.788291058675,12.7033722031144
Oregon,1998,540226,3892091,245664,2205951,1440476,3939722,2067377,1304874,139912,319162,15.1866207204091,12.4117200276276,14.6066692664002,14.1804841724863,14.54179121197,14.0816170423534,11.848768932529,12.673454089852
Pennsylvania,1998,1791100,15671363,856423,5783893,9031047,16432921,8346538,4414783,615097,1659536,16.6147972587521,13.6605196919461,15.5705875433412,16.0161788655157,15.9373574000738,15.3004692401894,13.3295352579288,14.322048603188
Rhode Island,1998,152356,1255280,67433,503267,684580,1221558,762746,355309,48765,24136,14.015637651156,11.1188897913218,13.1288761233587,13.4365607905118,13.5446803583829,12.7807431123947,10.7947681214061,10.0914597808389
South Carolina,1998,648084,4109130,328411,2144562,1636157,4241163,2072959,1183620,254897,620396,15.2603480820497,12.7020211517363,14.5784458936893,14.3078607573106,14.544487613123,13.984088096966,12.4486148209736,13.3381132628105
South Dakota,1998,133698,793101,77009,281856,434236,781279,403237,214983,34336,107579,13.5686875993438,11.2516775771224,12.5491515812022,12.9813434440903,12.9072797574021,12.2783142342162,10.4439496454304,11.585980740376
Tennessee,1998,876693,4757639,405078,2268050,2084511,4988208,2829375,1291193,274143,494391,15.4225872849928,12.9118349201377,14.6344309894422,14.5500448533339,14.8555663971724,14.0710771551696,12.5214051470391,13.1110819810764
Texas,1998,3888061,24485263,1830474,10632566,12022223,25723965,12804069,6944751,1209084,3561286,17.0629336056389,14.4200855076721,16.1794321134737,16.3022674117354,16.3652735689983,15.7534966803961,14.0053736060916,15.0856322735533
Utah,1998,480811,2295870,166979,1394158,734733,2326611,1250866,536216,167139,307674,14.6599232602828,12.0256233349889,14.1478012067779,13.507262446892,14.0393466694033,13.1922923439509,12.0265810805293,12.6367960598524
Vermont,1998,101413,1089658,44750,253591,791317,1064388,461901,240460,25038,63485,13.877910544065,10.708846723703,12.4434780119565,13.581453925001,13.0431058613871,12.3903090345289,10.1281499498196,11.0585589365039
Virginia,1998,1110815,7723744,401716,3046785,4275243,7813707,4109813,2275415,408498,796239,15.8713900570935,12.9035006502736,14.9295974942705,15.2683515008428,15.2288880866539,14.6376730113135,12.9202422973094,13.5876546710164
Washington,1998,991235,6928738,438391,4546140,1944207,7211601,3520841,2098952,311726,997000,15.7912015373157,12.9908664852081,15.3297890792249,14.4803647398153,15.0742104394919,14.5569487305089,12.6498798758154,13.812506048944
West Virginia,1998,300737,2178936,202626,1351721,624589,2100841,1168793,606055,141099,171688,14.5578482987149,12.219117194251,14.116889153343,13.3448491124048,13.9714821503521,13.314726020009,11.8572170506436,12.0534341551013
Wisconsin,1998,881552,7083655,318567,3918690,2846398,7532110,3946529,2093343,240608,948070,15.8346857730073,12.6715880929391,15.1812679722414,14.8615648932515,15.1883470163869,14.5542728676,12.3909243321778,13.7621836181736
Wyoming,1998,96504,703280,47201,330204,325875,706801,366104,216102,22636,84596,13.4685044342541,10.7621703577899,12.7074659242652,12.6942691512358,12.8106727250252,12.2835057974267,10.0272968382624,11.3456422631526
Alabama,1999,737639,4471546,393095,2752653,1325798,4622810,2399626,1208081,441314,515798,15.3465133032722,12.8818065919192,14.8280757318652,14.0975251002651,14.6908234498416,14.0045437082091,12.9975119192049,13.15347049495
Alaska,1999,133508,1243227,187153,740163,315911,1289988,705069,403903,42897,119079,14.070143473969,12.1396817431266,13.5146257111947,12.6632158073299,13.4660509493456,12.908930029105,10.666557172401,11.6875424173786
Arizona,1999,814157,5085826,495708,2259753,2330365,5072471,2272859,1426620,264903,871345,15.4393386335637,13.1137423226721,14.6307660732403,14.6615354656337,14.6365490683545,14.1708185680745,12.4871190002243,13.67779327385
Arkansas,1999,451981,2684966,232382,2001992,450592,2650808,1424443,767854,177666,196954,14.7903750571485,12.3561378482925,14.5096532428453,13.018317552717,14.1692914180795,13.5513548898911,12.0876606621276,12.1907254779161
California,1999,5839207,41393435,3599923,23695095,14098417,40834643,21110543,11539910,1954362,4738866,17.525041372236,15.0964230143087,16.9807786226604,16.4615730795422,16.8652831419001,16.2613220200537,14.4855743554292,15.3713084245424
Colorado,1999,698402,4740254,234939,2004039,2501276,5040224,2401914,1565012,179582,628011,15.4329610835044,12.3670811849629,14.5106752020754,14.7323115596287,14.691776477484,14.2634040496586,12.0983872071105,13.3503129612205
Connecticut,1999,522415,5460213,208565,2074271,3177377,5269517,3016240,1535406,179789,300611,15.4774492654635,12.2480060222364,14.5451203246165,14.9715665716191,14.9195215805408,14.2443053991448,12.0995392200603,12.6135723491112
Delaware,1999,112320,1004472,61485,646592,296395,960335,529808,291268,42056,70433,13.7750374609056,11.0265485216065,13.3794707717874,12.599448303166,13.1802699557439,12.5819990845275,10.6467573424993,11.1624171823172
District of Columbia,1999,71889,758072,122970,0,635102,738942,314138,351290,29741,43773,13.5129747124118,11.7196957021665,-Inf,13.3615408948965,12.6575876587886,12.7693673721499,10.3002818441967,10.6867724679321
Florida,1999,2333567,17093036,1266927,8719985,7106124,16156822,7611469,4934846,1131998,2092359,16.5978529333016,14.0521048412267,15.9811280757002,15.7764675054531,15.8451667466886,15.4118320246891,13.9394947709593,14.5538026955629
Georgia,1999,1401291,10380164,672868,5148120,4559176,10106670,5328497,2710664,516763,1354872,16.1287061598856,13.4193044526882,15.4541421574498,15.3326524634077,15.4885797676328,14.812704181294,13.1553396344603,14.1192175428892
Hawaii,1999,188069,1328572,130547,1166940,31085,1357649,718107,350077,108410,181055,14.1212650853563,11.779488594162,13.9698954960652,10.3444806667034,13.4843738619969,12.7659084092691,11.5936756146553,12.1065561314929
Idaho,1999,244623,1405250,96761,867752,440737,1409367,763181,408262,57605,148467,14.1586512253821,11.4799992995197,13.6736612385327,12.9962036046465,13.5452505036281,12.9196644041546,10.9613646484722,11.9081179903077
Illinois,1999,1987427,16208970,1089732,5665008,9454230,16783840,8205446,4827070,686866,2243726,16.6359270766843,13.9014423524143,15.5498188646233,16.061972818366,15.9203086381284,15.3897502162984,13.4398945012334,14.6236484347827
Indiana,1999,986891,8167164,377681,4094272,3695211,8196714,4027481,2251783,370124,808948,15.9192439002128,12.8418052029608,15.2250994816872,15.1225482149289,15.2086516764554,14.6272329048067,12.8215933636103,13.6034899170897
Iowa,1999,498214,3740509,186056,1776000,1778453,3789049,1815795,1054419,245363,340182,15.1476256220892,12.1338029826501,14.3898742025343,14.3912544432573,14.4120339463088,13.8685004622949,12.4104940256452,12.7372360474912
Kansas,1999,469758,3390596,201872,2093218,1095506,3189867,1590684,1031073,204037,218426,14.9754897811019,12.2153891121675,14.5542131527171,13.9067269149538,14.279674670371,13.8461105655362,12.2260566289294,12.2942025633863
Kentucky,1999,653628,4188131,379440,2584984,1223707,4305678,2236724,1254812,245016,477275,15.2754451747327,12.8464517605515,14.7652298763504,14.0173953343137,14.6205228533342,14.04249631853,12.409078793517,13.0758481236629
Louisiana,1999,764642,4641847,532951,2364871,1744025,4702496,2547187,1328631,308590,418504,15.3636039895456,13.1861847664641,14.676234032966,14.3717062182107,14.750500170976,14.0996596467726,12.6397688139792,12.944441726811
Maine,1999,210245,1708133,88888,740050,879195,1699835,1000023,447288,70608,86425,14.3460417454924,11.3951324292638,13.5144730304653,13.6867619950672,13.8155335576998,13.0109579614286,11.1648987315093,11.3670322647898
Maryland,1999,841671,6850334,372016,2686695,3791623,6892276,3660046,2096627,304175,608284,15.7459119222588,12.826692143083,14.8038223716648,15.1483047175833,15.1129862736046,14.5558404209106,12.6253584726557,13.3183971571518
Massachusetts,1999,957402,8388120,413600,3571654,4402866,8673439,5220083,2332767,271812,425998,15.9757759252425,12.9326546021764,15.0885393517852,15.2977662504796,15.4680238601156,14.6625656746059,12.512865929835,12.9621899304048
Michigan,1999,1696275,15248112,1018825,9519308,4709979,15837858,7222378,4848897,701589,1875573,16.5779137079338,13.8341605604593,16.0688327150499,15.3651940073839,15.7926948195218,15.3942618143688,13.4611030414679,14.4444247707005
Minnesota,1999,843802,6949149,322148,3873937,2753064,7450965,3622534,1855510,497073,965469,15.8238541121688,12.6827663462595,15.1697818605556,14.828225031221,15.1026843389162,14.4336701488512,13.1164921755805,13.780369272619
