STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,log_total_exp,log_federal_rev,log_state_rev,log_local_rev,log_instruction_exp,log_support_services_exp,log_other_exp,log_capital_outlay_exp
Hawaii,1992,,996809,71273,903443,22093,1040121,536115,291376,,126212,13.8548476105037,11.1742728530575,13.7139682990331,10.003016095251,13.1921039692787,12.5823698083356,,11.745718311732
Idaho,1992,,859329,69138,531912,258279,886161,473505,246320,,111353,13.6946539286546,11.1438597862421,13.1842333411076,12.4617956749658,13.0679177512146,12.4143867825984,,11.6204606143971
Illinois,1992,,9748650,597077,3073178,6078395,9850560,5010400,3148849,,727858,16.1030388643241,13.2998013622822,14.938222763288,15.6202512388303,15.4270263101933,14.9625475472027,,13.4978612532081
Indiana,1992,,5060274,257044,2578149,2225081,5182754,2598925,1478639,,536404,15.4608471331861,12.4570025554489,14.7625822575528,14.6153038774142,14.7706084559545,14.2066326280592,,13.1926428874834
Iowa,1992,,2663934,125665,1176205,1362064,2795774,1446478,800570,,222086,14.8436195493121,11.7413749150746,13.9778037119767,14.1245117543086,14.1846421941572,13.5930792529424,,12.3108199732267
Kansas,1992,,2245348,121625,903199,1220524,2234915,1165749,708572,,157705,14.6197137539867,11.7086978194883,13.7136981846425,14.0147908326939,13.9688743568533,13.4710069560971,,11.968481478219
Kentucky,1992,,2642902,289902,1643109,709891,2518082,1343438,817871,,136694,14.7390080585844,12.5772982138166,14.3121007368761,13.4728667161052,14.1107425578522,13.6144599014372,,11.825500130015
Louisiana,1992,,3341253,367822,1848734,1124697,3362853,1888349,986486,,135305,15.0283002787947,12.8153544044804,14.4300116384734,13.9330242240106,14.4512134602995,13.8019044127577,,11.8152867683911
Maine,1992,,1206819,73160,511654,622005,1228869,685350,317880,,97128,14.0216047921428,11.2004041025048,13.1454038943286,13.3407034102742,13.4376849356595,12.6694292320541,,11.4837849752238
Maryland,1992,,4658498,228336,1778834,2651328,4698374,2628891,1461083,,340298,15.3627270493764,12.3385735073402,14.3914686514455,14.7905712045131,14.7820726422211,14.194688499523,,12.7375769833045
Massachusetts,1992,,5517659,273946,1439051,3804662,5245560,2751871,1523068,,167247,15.472892562464,12.5206862856554,14.1794944265201,15.1517377148461,14.8277916019367,14.2362372796002,,12.0272270406099
Michigan,1992,,9963137,537917,2539380,6885840,10170688,4681327,3321276,,825552,16.1350204156874,13.1954595521494,14.7474305147106,15.7449776870603,15.3590921747105,15.0158596044034,,13.6238075324844
Minnesota,1992,,4684684,194092,2380754,2109838,4981125,2534882,1343203,,463724,15.4211663271029,12.1760875524396,14.6829278021977,14.5621217252535,14.7456576456005,14.1105676182153,,13.0470448266421
Mississippi,1992,,1684706,277706,901199,505801,1691990,956104,445364,,131795,14.3414159089654,12.5343182791112,13.711481377908,13.1338985902821,13.7706219727276,13.0066472043152,,11.7890029640639
Missouri,1992,,4043682,255194,1903124,1885364,4197600,2168135,1221397,,474552,15.2500234913546,12.4497793192046,14.4590073044287,14.4496314636705,14.5893779089757,14.0155058435703,,13.0701264800688
Montana,1992,,828983,69947,337455,421581,781009,412219,241644,,64263,13.568341952443,11.1554930913969,12.7291874470717,12.9517672087801,12.9293100405053,12.3952208476664,,11.0707393169209
Nebraska,1992,,1542413,85423,492256,964734,1534046,909159,394690,,132183,14.2434192474219,11.3553706643594,13.1067541853555,13.7796076946549,13.7202752753551,12.885855925632,,11.7919426050901
Nevada,1992,,1097076,45018,724032,328026,1251651,572623,334685,,249189,14.0399740377895,10.7148176887738,13.4925908692861,12.7008481525174,13.2579828384958,12.7209450699418,,12.4259669236692
New Hampshire,1992,,1063391,31020,86296,946075,1066647,581123,310285,,63554,13.8800306414319,10.3423874367305,11.3655385260553,13.7600771260754,13.2727177173866,12.6452465089522,,11.0596452172017
New Jersey,1992,,10814689,416063,4504718,5893908,10452340,6042936,2911782,,474259,16.162336434753,12.9385919700849,15.320635849951,15.589429833064,15.6144005445214,14.884275822859,,13.0695088649498
New Mexico,1992,,1330091,161520,990653,177918,1339829,683253,432392,,139206,14.1080525518437,11.9923842529867,13.8061196006326,12.089078048974,13.43462049456,12.9770878631884,,11.8437101294018
New York,1992,,21630179,1172030,8697663,11760486,22815611,13288972,6132532,,1640971,16.9429555526118,13.9742478460611,15.9785649268502,16.2802558261115,16.4024450763056,15.6291182732015,,14.3107986977649
North Carolina,1992,,5236099,389145,3283378,1563576,5418687,2847638,1422278,,774194,15.5053640931458,12.871707303789,15.0043833284485,14.262486063589,14.8620004366937,14.1677703695346,,13.5595777671602
North Dakota,1992,,559481,51476,242693,265312,553732,315009,152340,,34904,13.2244360941698,10.8488709586136,12.3995525491067,12.4886617709159,12.6603564888282,11.9338701439268,,10.4603567148034
Ohio,1992,,9285961,472604,3631703,5181654,9483822,5172782,2961942,,742377,16.0650979575392,13.0660131075163,15.105212242232,15.460634868288,15.4589212062071,14.9013556922542,,13.5176124793708
Oklahoma,1992,,2396705,211627,1470516,714562,2515272,1283577,779828,,194081,14.7378915067615,12.26258057007,14.2011239175698,13.4794250465552,14.0651612697027,13.5668286615287,,12.176030876679
Oregon,1992,,2773959,163544,788309,1822106,2898210,1556770,967075,,230464,14.8796038630055,12.0048373462648,13.5776454239561,14.4155035329363,14.2581237199302,13.7820313308901,,12.3478499470085
Pennsylvania,1992,,11257252,658139,4227323,6371790,11539253,6075381,3329224,,964457,16.2612650855799,13.3971714341987,15.2570794901616,15.6673909927835,15.6197552612737,15.0182498017672,,13.7793205276488
Rhode Island,1992,,883073,43545,329810,509718,863404,556787,265279,,14685,13.6686379949397,10.6815501651268,12.7062720100549,13.1416129105957,13.2299380400286,12.48853738132,,9.59458184363272
South Carolina,1992,,2842626,249903,1350148,1242575,2922293,1544232,768292,,261644,14.8878791400508,12.4288281215529,14.1157247740354,14.0326963973042,14.2500372573465,13.5519251482023,,12.4747400801405
South Dakota,1992,,551668,60671,147834,343163,593126,320561,169697,,65568,13.2931621343302,11.0132211034114,11.9038453016364,12.7459608319263,12.677827864846,12.0417697728103,,11.0908430510386
Tennessee,1992,,3080490,308571,1305381,1466538,3132516,1830264,799825,,232437,14.9573470734807,12.6397072417152,14.0820055101516,14.1984150790994,14.4199707767079,13.5921482327208,,12.3563744995492
Texas,1992,,16264180,1160185,6706959,8397036,16119084,7961379,4613884,,1833239,16.5955144696069,13.9640900331251,15.7186562020469,15.943389344402,15.8901127840221,15.3445805765242,,14.4215949056653
Utah,1992,,1555799,105349,872510,577940,1547980,841552,396073,,155425,14.2524614131517,11.5650339270183,13.6791293943111,13.2672253360379,13.6430030851185,12.8893538166818,,11.9539185791375
Vermont,1992,,812377,31757,204163,576457,800377,386699,205777,,25781,13.5928381456467,10.3658684524613,12.226673973388,13.2646560278782,12.8654018916081,12.2345483371473,,10.1573930655004
Virginia,1992,,5631293,313971,2180133,3137189,5744469,2982862,1758078,,523409,15.5637480367948,12.6570559039374,14.5948964420786,14.9588377340031,14.9083938002746,14.3797317248437,,13.1681184641921
Washington,1992,,4870832,263053,3467779,1140000,5360834,2587181,1518521,,855759,15.494630117958,12.4801108117698,15.0590248893618,13.9465388203707,14.7660794239314,14.2332473928093,,13.6597440734274
West Virginia,1992,,1585099,130117,1021803,433179,1587968,835186,465429,,156015,14.2779657694527,11.7761893246806,13.8370792718698,12.9789063164797,13.6354097335179,13.0507148398987,,11.9577074354553
Wisconsin,1992,,4993909,217723,2205439,2570747,5181471,2914442,1490415,,416449,15.4605995507559,12.2909788916191,14.6064371400172,14.7597070761161,14.8851889357722,14.2145651626311,,12.939519284112
Wyoming,1992,,629748,31714,314216,283818,624941,339953,185930,,60815,13.3454125242626,10.3645135027495,12.6578359264861,12.5560884666439,12.7365626517428,12.1331255377741,,11.0155917480525
Alabama,1993,727716,2827391,331409,1729295,766687,2833433,1564558,794146,237222,204207,14.8569996086443,12.7111085411194,14.3632243689665,13.5498339136187,14.263113913951,13.5850226024188,12.3767516905401,12.2268894642427
Alaska,1993,121156,1191398,176150,775829,239419,1126398,494917,433788,36291,135791,13.9345354888162,12.0790911837694,13.5616874140576,12.3859704340361,13.1121453507238,12.980311214475,10.499325055628,11.8188722179783
Arizona,1993,676297,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083,680139,15.1030740453717,12.6712678578461,14.16292768021,14.342664545462,14.27223199311,13.8164241405206,12.0081276763431,13.4300524680278
Arkansas,1993,311432,1346909,128196,771079,447634,1376067,782791,386526,68617,97824,14.1347399881505,11.7613156217339,13.5555461116284,13.0117312132142,13.5706210172484,12.8649544151222,11.1362955964244,11.4909252246906
California,1993,5129788,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514,1944760,17.1516710187528,14.5815163948936,16.6524900951211,15.9934430110088,16.5421304043304,16.0031963408657,14.2908213293846,14.4806491341049
Colorado,1993,539538,3058326,147793,1242337,1668196,3028305,1537714,954032,92163,318959,14.9235136150191,11.9035679250756,14.0325048412244,14.3272533609927,14.2458074559691,13.7684524928448,11.4313140274832,12.672817846861
Connecticut,1993,471918,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312,186802,15.2215935756945,11.9130697760439,14.1756567700743,14.7243395199473,14.6496589127343,13.9902316375019,11.872779350715,12.1378045113577
Delaware,1993,104355,683954,44497,443250,196207,694534,394680,207850,26548,47372,13.4509963960617,10.7031770501515,13.0018892239365,12.1869255033567,12.8858305889711,12.2445719446808,10.1867096942658,10.7657866158414
District of Columbia,1993,80937,721151,73882,0,647269,719440,339266,302281,39819,38074,13.4862284105884,11.2102245048726,-Inf,13.3805172521462,12.7345397394442,12.6191123273203,10.5920994642943,10.5472869134657
Florida,1993,1980569,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220,1424334,16.2513305121217,13.7613985579137,15.5240501805314,15.4051409910904,15.4894499908514,15.0844401396964,13.6555999884419,14.1692148940132
Georgia,1993,893557,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423,439808,15.3519419836945,12.5988948343536,14.6235833623316,14.5933425778895,14.7471674237687,14.0956542883778,12.4700625110689,12.9940935470238
Hawaii,1993,177448,1062475,76183,962375,23917,1063090,580597,304362,95700,82431,13.8766903197796,11.240893619672,13.7771594665804,10.0823447821389,13.2718121634908,12.6259730614346,11.468973577441,11.3197168587392
Idaho,1993,231632,890835,72747,547454,270634,899819,499914,260805,41238,81359,13.7099489109698,11.1947429470701,13.2130337188782,12.508522633537,13.1221913626106,12.47152828063,10.6271154403497,11.3066267395948
Illinois,1993,1856841,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411,852085,16.1899227023604,13.3577895870851,15.0588207032576,15.6849760068422,15.5240121424832,15.0252831111849,12.9631589488744,13.6554415660934
Indiana,1993,958052,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924,477709,15.5504525552251,12.5357000812872,14.9159658139909,14.7515239139344,14.8672356207269,14.2973260269542,12.5021840907844,13.0767570394769
